Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,New_Item_type,Outlet_Age,Item_Age,Visibility_Avg,Visibility_Ratio,Item_MRP_Log,Item_Weight_x_Item_Visibility,Item_Weight_x_Outlet_Age,MRP_x_Visibility,Visibility_x_Size,Visibility_x_Tier,Visibility_x_OutletType
FDA15,9.3,Low Fat,0.016047301,Dairy,249.8092,OUT049,1999,Medium,Tier 1,Supermarket Type1,3735.138,FOOD,14,1998.0,0.017386784625,0.9229596700085656,5.524692490701605,0.1492398993,130.20000000000002,4.0087634249692,0.032094602,0.016047301,0.016047301
DRC01,5.92,Regular,0.019278216,Soft Drinks,48.2692,OUT018,2009,Medium,Tier 3,Supermarket Type2,443.4228,Drinks,4,2012.0,0.019219470166666665,1.0030565792305357,3.897299139362957,0.11412703872,23.68,0.9305440637472,0.038556432,0.057834648,0.038556432
FDN15,17.5,Low Fat,0.016760075,Meat,141.618,OUT049,1999,Medium,Tier 1,Supermarket Type1,2097.27,FOOD,14,1998.0,0.020144572285714285,0.8319896179620336,4.960169727223188,0.29330131249999997,245.0,2.37352830135,0.03352015,0.016760075,0.016760075
FDX07,19.2,Regular,0.022910510000000002,Fruits and Vegetables,182.095,OUT010,1998,Small,Tier 3,Grocery Store,732.38,FOOD,15,2006.0,0.02291051,1.0000000000000002,5.2100051438253585,0.43988179200000005,288.0,4.171889318450001,0.022910510000000002,0.06873153000000001,0.0
NCD19,8.93,Low Fat,0.016164306,Household,53.8614,OUT013,1987,High,Tier 3,Supermarket Type1,994.7052,Non-Consumable,26,1994.0,0.016164306,1.0,4.004810004688033,0.14434725258,232.18,0.8706321511884001,0.048492917999999996,0.048492917999999996,0.016164306
FDP36,10.395,Regular,0.091392321,Baking Goods,51.4008,OUT018,2009,Medium,Tier 3,Supermarket Type2,556.6088,FOOD,4,1977.0,0.091392321,1.0,3.958921858386027,0.9500231767949999,41.58,4.6976384132568,0.182784642,0.274176963,0.182784642
FDO10,13.65,Regular,0.012741089,Snack Foods,57.6588,OUT013,1987,High,Tier 3,Supermarket Type1,343.5528,FOOD,26,2003.0,0.014183264833333334,0.8983184865910457,4.071737606469961,0.17391586485000002,354.90000000000003,0.7346359024332,0.038223267000000005,0.038223267000000005,0.012741089
FDP10,19.0,Low Fat,0.127469857,Snack Foods,107.7622,OUT027,1985,Medium,Tier 3,Supermarket Type3,4022.7636,FOOD,28,2003.0,0.12815190314285713,0.9946778305578745,4.6891638475846955,2.421927283,532.0,13.7364322240054,0.254939714,0.38240957099999995,0.38240957099999995
FDH17,16.2,Regular,0.016687114,Frozen Foods,96.9726,OUT045,2002,Small,Tier 2,Supermarket Type1,1076.5986,FOOD,11,1996.0,0.01845924942857143,0.90399742766201,4.584687847740753,0.2703312468,178.2,1.6181928310764,0.016687114,0.033374228,0.016687114
FDU28,19.2,Regular,0.09444959,Frozen Foods,187.8214,OUT017,2007,Small,Tier 2,Supermarket Type1,4710.535,FOOD,6,1985.0,0.1081142652,0.8736089527619524,5.240801594745689,1.8134321279999999,115.19999999999999,17.739654223226,0.09444959,0.18889918,0.09444959
FDY07,11.8,Low Fat,0.12187957333333332,Fruits and Vegetables,45.5402,OUT049,1999,Medium,Tier 1,Supermarket Type1,1516.0266,FOOD,14,2006.0,0.12187957333333332,1.0,3.840316455243511,1.4381789653333332,165.20000000000002,5.550420145514666,0.24375914666666665,0.12187957333333332,0.12187957333333332
FDA03,18.5,Regular,0.045463773,Dairy,144.1102,OUT046,1997,Small,Tier 1,Supermarket Type1,2187.153,FOOD,16,2010.0,0.051552963400000006,0.8818847647466177,4.977493453766816,0.8410798005,296.0,6.551793419784599,0.045463773,0.045463773,0.045463773
FDX32,15.1,Regular,0.1000135,Fruits and Vegetables,145.4786,OUT049,1999,Medium,Tier 1,Supermarket Type1,1589.2646,FOOD,14,1981.0,0.11257344,0.8884289224882886,4.986879342701793,1.5102038500000001,211.4,14.549823961100001,0.200027,0.1000135,0.1000135
FDS46,17.6,Regular,0.047257328,Snack Foods,119.6782,OUT046,1997,Small,Tier 1,Supermarket Type1,2145.2076,FOOD,16,1967.0,0.054460816200000005,0.8677308071633344,4.793127498700671,0.8317289728000001,281.6,5.6556719518496,0.047257328,0.047257328,0.047257328
FDF32,16.35,Low Fat,0.0680243,Fruits and Vegetables,196.4426,OUT013,1987,High,Tier 3,Supermarket Type1,1977.426,FOOD,26,1981.0,0.08339896233333333,0.8156492370746403,5.285447909187854,1.112197305,425.1,13.362870355179998,0.2040729,0.2040729,0.0680243
FDP49,9.0,Regular,0.069088961,Breakfast,56.3614,OUT046,1997,Small,Tier 1,Supermarket Type1,1547.3192,FOOD,16,1964.0,0.07771102133333332,0.8890497102547412,4.0493716032459535,0.6218006490000001,144.0,3.8939505665054006,0.069088961,0.069088961,0.069088961
NCB42,11.8,Low Fat,0.008596051,Health and Hygiene,115.3492,OUT018,2009,Medium,Tier 3,Supermarket Type2,1621.8888,Non-Consumable,4,1971.0,0.0085695865,1.0030881886774816,4.756596013918903,0.10143340180000002,47.2,0.9915476060092,0.017192102,0.025788153,0.017192102
