Item_Visibility,Outlet_Age,Item_Age,MRP_x_Visibility,Item_Fat_Content,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Weight,Visibility_Ratio,New_Item_type,Item_MRP,Item_Outlet_Sales
0.016047301,14,1998.0,4.0087634249692,Low Fat,Medium,Tier 1,Supermarket Type1,9.3,0.9229596700085656,FOOD,249.8092,3735.138
0.019278216,4,2012.0,0.9305440637472,Regular,Medium,Tier 3,Supermarket Type2,5.92,1.0030565792305357,Drinks,48.2692,443.4228
0.016760075,14,1998.0,2.37352830135,Low Fat,Medium,Tier 1,Supermarket Type1,17.5,0.8319896179620336,FOOD,141.618,2097.27
0.022910510000000002,15,2006.0,4.171889318450001,Regular,Small,Tier 3,Grocery Store,19.2,1.0000000000000002,FOOD,182.095,732.38
0.016164306,26,1994.0,0.8706321511884001,Low Fat,High,Tier 3,Supermarket Type1,8.93,1.0,Non-Consumable,53.8614,994.7052
0.091392321,4,1977.0,4.6976384132568,Regular,Medium,Tier 3,Supermarket Type2,10.395,1.0,FOOD,51.4008,556.6088
0.012741089,26,2003.0,0.7346359024332,Regular,High,Tier 3,Supermarket Type1,13.65,0.8983184865910457,FOOD,57.6588,343.5528
0.127469857,28,2003.0,13.7364322240054,Low Fat,Medium,Tier 3,Supermarket Type3,19.0,0.9946778305578745,FOOD,107.7622,4022.7636
0.016687114,11,1996.0,1.6181928310764,Regular,Small,Tier 2,Supermarket Type1,16.2,0.90399742766201,FOOD,96.9726,1076.5986
0.09444959,6,1985.0,17.739654223226,Regular,Small,Tier 2,Supermarket Type1,19.2,0.8736089527619524,FOOD,187.8214,4710.535
0.12187957333333332,14,2006.0,5.550420145514666,Low Fat,Medium,Tier 1,Supermarket Type1,11.8,1.0,FOOD,45.5402,1516.0266
0.045463773,16,2010.0,6.551793419784599,Regular,Small,Tier 1,Supermarket Type1,18.5,0.8818847647466177,FOOD,144.1102,2187.153
0.1000135,14,1981.0,14.549823961100001,Regular,Medium,Tier 1,Supermarket Type1,15.1,0.8884289224882886,FOOD,145.4786,1589.2646
0.047257328,16,1967.0,5.6556719518496,Regular,Small,Tier 1,Supermarket Type1,17.6,0.8677308071633344,FOOD,119.6782,2145.2076
0.0680243,26,1981.0,13.362870355179998,Low Fat,High,Tier 3,Supermarket Type1,16.35,0.8156492370746403,FOOD,196.4426,1977.426
0.069088961,16,1964.0,3.8939505665054006,Regular,Small,Tier 1,Supermarket Type1,9.0,0.8890497102547412,FOOD,56.3614,1547.3192
0.008596051,4,1971.0,0.9915476060092,Low Fat,Medium,Tier 3,Supermarket Type2,11.8,1.0030881886774816,Non-Consumable,115.3492,1621.8888
0.069196376,14,1964.0,3.7616118742864004,Regular,Medium,Tier 1,Supermarket Type1,9.0,0.890431946624268,FOOD,54.3614,718.3982
0.034237682,28,2002.0,3.8785610250788,Low Fat,Medium,Tier 3,Supermarket Type3,8.26,0.8266123043984333,Drinks,113.2834,2303.668
0.10249212,9,2011.0,23.628041382624,Low Fat,Small,Tier 2,Supermarket Type1,13.35,0.901997196075441,FOOD,230.5352,2748.4224
0.138190277,26,1991.0,34.6681264476548,Regular,High,Tier 3,Supermarket Type1,18.85,0.9964460714177477,FOOD,250.8724,3775.086
0.035399923,28,2001.0,5.1168606300812,Regular,Medium,Tier 3,Supermarket Type3,8.315,0.9073565158740483,FOOD,144.5444,4064.0432
0.025698134,9,1983.0,5.0498991953256,Low Fat,Small,Tier 2,Supermarket Type1,14.6,0.8308792770612932,Non-Consumable,196.5084,1587.2672
0.057556998,28,1976.0,6.198531831212399,Low Fat,Small,Tier 1,Grocery Store,15.5,1.4001017843082437,FOOD,107.6938,214.3876
0.025896485,16,1985.0,4.273463851184999,Regular,Small,Tier 1,Supermarket Type1,13.85,0.9977857938893345,FOOD,165.021,4078.025
0.099887103,6,2007.0,4.585417350318,Low Fat,Small,Tier 2,Supermarket Type1,13.0,1.0035584629112675,Non-Consumable,45.906,838.908
0.066693437,9,2003.0,2.8218793515944,Regular,Small,Tier 2,Supermarket Type1,7.645,0.7984991073649502,FOOD,42.3112,1065.28
0.019356132,26,1954.0,0.7571422017648001,Low Fat,High,Tier 3,Supermarket Type1,11.65,0.8800843987725971,Drinks,39.1164,308.9312
0.161466534,15,1962.0,7.3481159091923995,Regular,Small,Tier 3,Grocery Store,5.925,1.390779585451742,FOOD,45.5086,178.4344
0.072221801,28,1999.0,3.1521493933654003,Regular,Small,Tier 1,Grocery Store,14.5,1.4545219745877407,FOOD,43.6454,125.8362
0.170348551,15,1975.0,9.5046996121756,Low Fat,Small,Tier 3,Grocery Store,19.25,1.4440173570865154,FOOD,55.7956,163.7868
0.080829372,4,1996.0,7.7954756214192,Low Fat,Medium,Tier 3,Supermarket Type2,18.6,1.002948273918814,Non-Consumable,96.4436,2741.7644
0.1026783142,4,1980.0,26.354155406434238,Low Fat,Medium,Tier 3,Supermarket Type2,18.7,0.9999999999999999,FOOD,256.6672,3068.0064
0.16484637650000003,11,1990.0,15.354384954165404,Low Fat,Small,Tier 2,Supermarket Type1,17.85,1.026807769625358,FOOD,93.1436,2174.5028
0.097904029,16,2012.0,17.1208495865402,Low Fat,Small,Tier 1,Supermarket Type1,17.5,0.8690040989458369,Drinks,174.8738,2085.2856
0.089291137,14,1984.0,13.0999205674974,Low Fat,Medium,Tier 1,Supermarket Type1,10.0,0.8494155173620084,Non-Consumable,146.7102,3791.0652
0.059511812,28,1993.0,7.6215468368536,Regular,Medium,Tier 3,Supermarket Type3,20.2,0.8268929615176921,FOOD,128.0678,2797.6916
0.113123893,4,2002.0,13.8620660995484,Regular,Medium,Tier 3,Supermarket Type2,8.85,1.0027970103240023,Drinks,122.5388,1609.9044
0.123111453,28,2003.0,4.5535725566922,Regular,Medium,Tier 3,Supermarket Type3,6.385000000000001,0.9944509267341656,FOOD,36.9874,388.1614
0.026480954,28,1979.0,2.3202558932892,Low Fat,Medium,Tier 3,Supermarket Type3,15.25,0.9067994382722705,FOOD,87.6198,2180.495
0.102511504,16,2011.0,23.6427612273408,Low Fat,Small,Tier 1,Supermarket Type1,13.35,0.9021677878599482,FOOD,230.6352,3435.528
0.02681843,26,1970.0,3.37917581686,Low Fat,High,Tier 3,Supermarket Type1,9.8,0.886395893739413,FOOD,126.002,2150.534
0.117818348,14,1967.0,22.7287616587328,Low Fat,Medium,Tier 1,Supermarket Type1,13.6,1.0009916175079747,FOOD,192.9136,2527.3768
0.069102831,4,2011.0,17.9617468356018,Low Fat,Medium,Tier 3,Supermarket Type2,21.35,0.9029432247464673,FOOD,259.9278,6768.5228
0.042277867,26,1963.0,5.3483446536882,Regular,High,Tier 3,Supermarket Type1,12.15,0.9965636795510625,FOOD,126.5046,373.5138
0.089498926,15,1974.0,15.939776620385201,Low Fat,Small,Tier 3,Grocery Store,6.42,1.4750345089700512,FOOD,178.1002,358.2004
0.02813543066666667,11,2008.0,4.313229046233601,Low Fat,Small,Tier 2,Supermarket Type1,19.6,1.0,Non-Consumable,153.3024,2428.8384
0.025879577,11,1964.0,6.8638486988402,Low Fat,Small,Tier 2,Supermarket Type1,10.0,1.001589882218445,FOOD,265.2226,5815.0972
0.121632721,16,2001.0,7.373618812462,Regular,Small,Tier 1,Supermarket Type1,15.85,0.8703209432274565,FOOD,60.622,2576.646
0.2262488690400001,28,2011.0,44.5437415872738,Regular,Small,Tier 1,Grocery Store,10.195,1.3492654211620045,FOOD,196.8794,780.3176
0.067779712,16,1996.0,9.752226298214401,Low Fat,Small,Tier 1,Supermarket Type1,7.39,0.9976204487568417,Non-Consumable,143.8812,3134.5864
